title,year,director,actors,rating,runtime,genre
Fences,7.6093665379542115,Denzel Washington,"Denzel Washington, Viola Davis, Stephen McKinley Henderson, Jovan Adepo",76.77982720685162,139.0,Drama
Killing Them Softly,7.607381425639791,Andrew Dominik,"Brad Pitt, Ray Liotta, Richard Jenkins, Scoot McNairy",55.34828858751685,97.0,Crime
Barbie and the Secret Door,7.608374474380783,Karen J. Lloyd,"Kelly Sheridan, Brittany McDonald, Ashleigh Ball",76.77982720685162,81.0,"Animation, Family"
After Ever Happy,7.612336837167746,Castille Landon,"Josephine Langford, Hero Fiennes Tiffin, Louise Lombard",0.0,95.0,Romance
A Dog's Purpose,7.609862200913554,Lasse Hallström,"Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar",76.77982720685162,100.0,Adventure
Closed Circuit,7.607878073278507,John Crowley,"Eric Bana, Rebecca Hall, Jim Broadbent",49.718783340774266,96.0,"Mystery, Drama, Crime, Thriller"
Victoria & Abdul,7.609862200913554,Stephen Frears,"Judi Dench, Ali Fazal, Tim Pigott-Smith, Eddie Izzard",67.7050282591593,111.0,Biography
LOL Surprise: The Movie,7.611842399580417,"Alex Kamb, Joan Mok, Lauren Ciaravalli","Ashley Angione, Sarah J. Bartholomew, Jessica Ruth Bell",67.7050282591593,47.0,"Animation, Family"
Hands of Stone,7.6093665379542115,Jonathan Jakubowicz,"Edgar Ramírez, Usher, Robert De Niro",57.305172884912324,111.0,Drama
Love,7.60887062919126,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra",51.55537689731064,135.0,Drama
San Andreas Mega Quake,7.61085279039525,H.M. Coakley,"Joseph Michael Harris, Christie Nicholls, Liz Fenning, Sarah J. Bartholomew",39.519135538805955,87.0,"Science Fiction, Action, Thriller"
End of Watch,7.607381425639791,David Ayer,"Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera",86.54418743517611,109.0,Action
xXx: Return of Xander Cage,7.609862200913554,D.J. Caruso,"Vin Diesel, Donnie Yen, Deepika Padukone",47.921717176698934,107.0,"Action, Adventure, Crime"
Elle,7.6093665379542115,Paul Verhoeven,"Isabelle Huppert, Laurent Lafitte, Anne Consigny, Charles Berling",74.44714078403649,130.0,Crime
The Killing of a Sacred Deer,7.609862200913554,Yorgos Lanthimos,"Barry G. Bernson, Herb Caillouet, Bill Camp, Raffey Cassidy",72.1572896883122,121.0,Drama
I Origins,7.608374474380783,Mike Cahill,"Michael Pitt, Steven Yeun, Astrid Bergès-Frisbey, Brit Marling",79.15561321339966,106.0,Drama
Missing Link,7.61085279039525,Chris Butler,"Hugh Jackman, David Walliams, Stephen Fry, Matt Lucas",65.54208112702213,93.0,Animation
Starred Up,7.607878073278507,David Mackenzie,"Jack O'Connell, Ben Mendelsohn, Rupert Friend, Sam Spruell",79.15561321339966,106.0,Crime
Paddington,7.608374474380783,Paul King,"Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent",79.15561321339966,95.0,Adventure
Joy,7.60887062919126,David O. Russell,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez",63.42089566023286,124.0,Biography
Here Comes the Boom,7.607381425639791,Frank Coraci,"Kevin James, Salma Hayek, Henry Winkler, Greg Germann",59.30271698622398,105.0,Action
Peppermint,7.610357618312838,Pierre Morel,"Jennifer Garner, John Gallagher Jr., John Ortiz, Juan Pablo Raba",59.30271698622398,101.0,Action
Gully Boy,7.61085279039525,Zoya Akhtar,"Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Vijay Raaz",94.33002052087464,154.0,Drama
Deep Water,7.612336837167746,Adrian Lyne,"Ben Affleck, Ana de Armas, Tracy Letts, Grace Jenkins",41.12293065704463,115.0,Drama
Pixels,7.60887062919126,Chris Columbus,"Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage",44.44501216944001,105.0,Action
Freaks,7.610357618312838,"Directors:Zach Lipovsky, Adam B. Stein","Emile Hirsch, Bruce Dern, Grace Park, Amanda Crew",65.54208112702213,105.0,Drama
Barbie: Dolphin Magic,7.609862200913554,Conrad Helten,"Erica Lindbeck, Shannon Chan-Kent, Kazumi Evans, Claire Margaret Corlett",69.9100080306912,61.0,"Animation, Adventure, Family, Fantasy"
12 Hour Shift,7.611347717403621,Brea Grant,"Angela Bettis, Julianne Dowler, Tom DeTrinis",41.12293065704463,86.0,"Thriller, Horror, Comedy, Crime"
Wild Mountain Thyme,7.611347717403621,John Patrick Shanley,"Emily Blunt, Jamie Dornan, Jon Hamm",39.519135538805955,102.0,"Romance, Drama"
Possessor,7.611347717403621,Brandon Cronenberg,"Andrea Riseborough, Christopher Abbott, Jennifer Jason Leigh, Rossif Sutherland",61.34119912365712,103.0,Horror
Hidden Figures,7.6093665379542115,Theodore Melfi,"Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner",91.69017539499492,127.0,Biography
Scouts Guide to the Zombie Apocalypse,7.60887062919126,Christopher Landon,"Tye Sheridan, Logan Miller, Joey Morgan, Sarah Dumont",57.305172884912324,93.0,Action
Silver Linings Playbook,7.607381425639791,David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",89.0949827188567,122.0,Comedy
The Dictator,7.607381425639791,Larry Charles,"Sacha Baron Cohen, Anna Faris, John C. Reilly, Ben Kingsley",59.30271698622398,83.0,Comedy
Two Night Stand,7.608374474380783,Max Nichols,"Miles Teller, Lio Tipton, Jessica Szohr, Kid Cudi",57.305172884912324,86.0,Comedy
The Jack in the Box: Awakening,7.612336837167746,Lawrence Fowler,"Matt McClure, James Swanton, Mollie Hindle",41.12293065704463,93.0,Horror
Gehraiyaan,7.612336837167746,Shakun Batra,"Deepika Padukone, Ananya Panday, Naseeruddin Shah, Siddhant Chaturvedi",49.718783340774266,148.0,Drama
Sleeping with Other People,7.60887062919126,Leslye Headland,"Jason Sudeikis, Alison Brie, Jordan Carlos, Margarita Levieva",61.34119912365712,101.0,Comedy
Magic Mike,7.607381425639791,Steven Soderbergh,"Channing Tatum, Alex Pettyfer, Olivia Munn, Matthew McConaughey",53.43178395413476,110.0,Comedy
Men in Black 3,7.607381425639791,Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement",67.7050282591593,106.0,Action
Fist Fight,7.609862200913554,Richie Keen,"Ice Cube, Charlie Day, Tracy Morgan, Christina Hendricks",44.44501216944001,91.0,Comedy
I'm in Love with a Church Girl,7.607878073278507,Steve Race,"Zahn McClarnon, Michael Madsen, Martin Kove",55.34828858751685,118.0,"Drama, Romance"
The Three Stooges,7.607381425639791,"Directors:Bobby Farrelly, Peter Farrelly","Sean Hayes, Chris Diamantopoulos, Will Sasso, Jane Lynch",36.42454008436073,92.0,Comedy
Woodlawn,7.60887062919126,"Andrew Erwin, Jon Erwin","Caleb Castille, Sean Astin, Jon Voight",72.1572896883122,123.0,Drama
Ask Me Anything,7.608374474380783,Allison Burnett,"Britt Robertson, Molly Hagan, Andy Buckley",44.44501216944001,100.0,Drama
Laal Singh Chaddha,7.612336837167746,Advait Chandan,"Aamir Khan, Ahmad Ibn Umar, Kareena Kapoor, Hafsa Ashraf",41.12293065704463,159.0,Comedy
Bad Times at the El Royale,7.610357618312838,Drew Goddard,"Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm",74.44714078403649,141.0,Crime
What Happened to Monday,7.609862200913554,Tommy Wirkola,"Noomi Rapace, Glenn Close, Willem Dafoe, Marwan Kenzari",67.7050282591593,123.0,Action
Snow White and the Huntsman,7.607381425639791,Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin",53.43178395413476,127.0,Action
Adore,7.607878073278507,Anne Fontaine,"Naomi Watts, Robin Wright, Xavier Samuel",53.43178395413476,112.0,Drama
Tusk,7.608374474380783,Kevin Smith,"Justin Long, Michael Parks, Haley Joel Osment, Genesis Rodriguez",39.519135538805955,102.0,Comedy
Super Troopers 2,7.610357618312838,Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Paul Soter",51.55537689731064,100.0,Comedy
Collateral Beauty,7.6093665379542115,David Frankel,"Will Smith, Edward Norton, Kate Winslet, Michael Peña",65.54208112702213,97.0,Drama
My Little Pony: Equestria Girls,7.607878073278507,"Jayson Thiessen, Noelle Benvenuti","Tara Strong, Ashleigh Ball, Andrea Libman",79.15561321339966,72.0,"Animation, Comedy, Family, Fantasy, Music"
Gunday,7.608374474380783,Ali Abbas Zafar,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra Jonas, Irrfan Khan",9.446782435004458,152.0,Action
The Intern,7.60887062919126,Nancy Meyers,"Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm",74.44714078403649,121.0,Comedy
Moana,7.6093665379542115,"Directors:Ron Clements, John Musker, Don Hall, Chris Williams","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",86.54418743517611,107.0,Animation
American Ultra,7.60887062919126,Nima Nourizadeh,"Jesse Eisenberg, Kristen Stewart, Connie Britton, John Leguizamo",53.43178395413476,96.0,Action
A Haunted House,7.607878073278507,Michael Tiddes,"Marlon Wayans, Essence Atkins, Marlene Forte, David Koechner",34.9331339775956,86.0,Comedy
Lawless,7.607381425639791,John Hillcoat,"Tom Hardy, Shia LaBeouf, Guy Pearce, Jason Clarke",76.77982720685162,116.0,Biography
The Royal Treatment,7.612336837167746,Rick Jacobson,"Laura Marano, Mena Massoud, Julie Edwards",67.7050282591593,96.0,"Romance, Comedy"
Paranormal Activity: The Ghost Dimension,7.60887062919126,Gregory Plotkin,"Chris J. Murray, Brit Shaw, Ivy George, Dan Gill",29.332935869024237,88.0,Horror
Samrat Prithviraj,7.612336837167746,Chandra Prakash Dwivedi,"Akshay Kumar, Sanjay Dutt, Manav Vij, Sakshi Tanwar",47.921717176698934,135.0,Action
The Ridiculous 6,7.60887062919126,Frank Coraci,"Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner",32.06057193847274,119.0,Action
Thalaivi,7.611842399580417,A.L. Vijay,"Kangana Ranaut, Arvind Swami, Nassar, Samuthirakani",49.718783340774266,153.0,Biography
Monster High: Great Scarrier Reef,7.6093665379542115,"William Lau, Jun Falkenstein","Larissa Gallagher, Kate Higgins, Debi Derryberry, Salli Saffioti",89.0949827188567,71.0,"Family, Animation"
Wolfwalkers,7.611347717403621,"Tomm Moore, Ross Stewart","Honor Kneafsey, Eva Whittaker, Sean Bean",111.1208972786445,103.0,"Animation, Family, Adventure, Fantasy"
Midnight Sun,7.610357618312838,Scott Speer,"Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard",63.42089566023286,91.0,Drama
Justice League vs. Teen Titans,7.6093665379542115,Sam Liu,"Rosario Dawson, Christopher Gorham, Shemar Moore, Jerry O'Connell",81.5747614577252,78.0,"Science Fiction, Action, Animation"
Isle of Dogs,7.610357618312838,Wes Anderson,"Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban",91.69017539499492,101.0,Animation
Tamasha,7.60887062919126,Imtiaz Ali,"Deepika Padukone, Ranbir Kapoor, Arushi Sharma, Piyush Mishra",79.15561321339966,139.0,Comedy
Beyond the Reach,7.608374474380783,Jean-Baptiste Léonetti,"Michael Douglas, Jeremy Irvine, Martin Palmer",49.718783340774266,91.0,Thriller
10 Cloverfield Lane,7.6093665379542115,Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",76.77982720685162,103.0,Drama
iBoy,7.609862200913554,Adam Randall,"Bill Milner, Maisie Williams, Miranda Richardson",51.55537689731064,90.0,"Action, Science Fiction"
2067,7.611347717403621,Seth Larney,"Aaron Glenane, Kodi Smit-McPhee, Ryan Kwanten",36.42454008436073,114.0,"Science Fiction, Thriller"
Safe,7.607381425639791,Boaz Yakin,"Jason Statham, Catherine Chan, Chris Sarandon, Robert John Burke",61.34119912365712,94.0,Action
Seventh Son,7.608374474380783,Sergei Bodrov,"Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander",42.76479054591126,102.0,Action
Elysium,7.607878073278507,Neill Blomkamp,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga",63.42089566023286,109.0,Action
The House with a Clock in Its Walls,7.610357618312838,Eli Roth,"Jack Black, Cate Blanchett, Owen Vaccaro, Kyle MacLachlan",51.55537689731064,105.0,Comedy
The Boss Baby: Get That Baby!,7.611347717403621,"Dan Forgione, Pete Jacobs, Matt Whitlock","Flula Borg, Alex Cazares, Rhys Darby",69.9100080306912,24.0,"Comedy, Family, Animation"
Okja,7.609862200913554,Bong Joon Ho,"Tilda Swinton, Paul Dano, Seo-hyun Ahn, Jake Gyllenhaal",79.15561321339966,120.0,Action
The Last Summer,7.61085279039525,William Bindley,"K.J. Apa, Maia Mitchell, Norman Johnson Jr.",51.55537689731064,109.0,"Romance, Comedy"
Annabelle: Creation,7.609862200913554,David F. Sandberg,"Anthony LaPaglia, Samara Lee, Miranda Otto, Brad Greenquist",61.34119912365712,109.0,Horror
Jumanji: Welcome to the Jungle,7.609862200913554,Jake Kasdan,"Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black",69.9100080306912,119.0,Action
The Happytime Murders,7.610357618312838,Brian Henson,"Melissa McCarthy, Elizabeth Banks, Maya Rudolph, Leslie David Baker",41.12293065704463,91.0,Action
The Green Knight,7.611842399580417,David Lowery,"Dev Patel, Alicia Vikander, Joel Edgerton, Sarita Choudhury",63.42089566023286,130.0,Adventure
Call Me by Your Name,7.609862200913554,Luca Guadagnino,"Timothée Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar",91.69017539499492,132.0,Drama
Tyler Perry's A Madea Homecoming,7.612336837167746,Tyler Perry,"Tyler Perry, Cassi Davis, David Mann",65.54208112702213,105.0,Comedy
The Bling Ring,7.607878073278507,Sofia Coppola,"Katie Chang, Israel Broussard, Emma Watson, Claire Julien",44.44501216944001,90.0,Biography
A Good Man,7.608374474380783,Keoni Waxman,"Steven Seagal, Victor Webster, Iulia Verdes, Tzi Ma",36.42454008436073,100.0,Action
Think Like a Man,7.607381425639791,Tim Story,"Chris Brown, Gabrielle Union, Kevin Hart, Michael Ealy",61.34119912365712,123.0,Comedy
