Title,Year,Director,Actors,Rating,Runtime,Genre,Release_Date,Plot_Summary
Now Is Good,2012,Ol Parker,"Dakota Fanning, Josef Altin, Jeremy Irvine, Paddy Considine",7.0,103,Drama,2012-09-19,A teenage girl dying of leukemia compiles a list of things she would like to do before passing away. Topping the list is her desire to lose her virginity.
People Like Us,2012,Alex Kurtzman,"Chris Pine, Elizabeth Banks, Michelle Pfeiffer, Olivia Wilde",7.0,114,Comedy,2012-06-29,"While settling his recently deceased father's estate, a salesman discovers he has a sister whom he never knew about, leading both siblings to re-examine their perceptions about family and life choices."
One Day,2011,Lone Scherfig,"Anne Hathaway, Jim Sturgess, Patricia Clarkson, Tom Mison",7.0,107,Drama,2011-08-19,"After spending the night together on the night of their college graduation Dexter and Emma are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day."
Perfect Sense,2011,David Mackenzie,"Ewan McGregor, Eva Green, Lauren Tempany, Connie Nielsen",7.0,92,Drama,2011-10-07,A chef and a scientist fall in love as an epidemic begins to rob people of their sensory perceptions.
Easy A,2010,Will Gluck,"Emma Stone, Amanda Bynes, Penn Badgley, Dan Byrd",7.0,92,Comedy,2010-09-17,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.
Away We Go,2009,Sam Mendes,"John Krasinski, Maya Rudolph, Allison Janney, Carmen Ejogo",7.0,98,Adventure,2009-06-26,"A couple expecting their first child travels the U.S. seeking the perfect ""family home."" They have misadventures and find fresh connections with relatives and old friends who help them discover ""home"" on their own terms for the fi..."
Demolition,2015,Jean-Marc Vallée,"Jake Gyllenhaal, Naomi Watts, Chris Cooper, Judah Lewis",7.0,101,Comedy,2015-04-08,"A successful investment banker struggles after losing his wife in a tragic car crash. With the help of a customer service rep and her young son, he starts to rebuild, beginning with the demolition of the life he once knew."
Pieces of a Woman,2020,Kornél Mundruczó,"Vanessa Kirby, Shia LaBeouf, Ellen Burstyn, Iliza Shlesinger",7.0,126,Drama,2020-01-07,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss."
Two Lovers,2008,James Gray,"Joaquin Phoenix, Gwyneth Paltrow, Vinessa Shaw, Anne Joyce",7.0,110,Drama,2008-03-20,A Brooklyn-set romantic drama about a bachelor torn between the family friend his parents wish he would marry and his beautiful but volatile new neighbor.
Thappad,2020,Anubhav Sinha,"Taapsee Pannu, Pavail Gulati, Kumud Mishra, Ratna Pathak Shah",7.0,142,Drama,2020-02-28,Thappad is a story of Amrita whose seemingly perfect life is shattered when her husband slaps her once in a party. But is one slap enough to question what a relationship stands for?
Happy-Go-Lucky,2008,Mike Leigh,"Sally Hawkins, Alexis Zegerman, Samuel Roukin, Elliot Cowan",7.0,118,Comedy,2008-11-21,"A look at a few chapters in the life of Poppy, a cheery, colorful, North London schoolteacher whose optimism tends to exasperate those around her."
