Title,Year,Director,Actors,Rating,Runtime,Genre,Release_Date,Plot_Summary
Fist Fight,2017,Richie Keen,"Ice Cube, Charlie Day, Tracy Morgan, Christina Hendricks",5.6,91,Comedy,2017-02-17,"When one school teacher unwittingly causes another teacher's dismissal, he is challenged to an after-school fight."
Dumb and Dumber To,2014,"Directors:Bobby Farrelly, Peter Farrelly","Jim Carrey, Jeff Daniels, Rob Riggle, Laurie Holden",5.6,109,Comedy,2014-11-14,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption."
Wanderlust,2012,David Wain,"Jennifer Aniston, Paul Rudd, Malin Akerman, Justin Theroux",5.6,98,Comedy,2012-02-24,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules."
New Year's Eve,2011,Garry Marshall,"Sarah Jessica Parker, Jessica Biel, Ashton Kutcher, Michelle Pfeiffer",5.6,118,Comedy,2011-12-09,The lives of several couples and singles in New York City intertwine over the course of New Year's Eve.
The Sitter,2011,David Gordon Green,"Jonah Hill, Ari Graynor, Sam Rockwell, Max Records",5.6,81,Comedy,2011-12-09,"A college student on suspension is coaxed into babysitting the kids next door, though he is fully unprepared for the wild night ahead of him."
Bad Teacher,2011,Jake Kasdan,"Cameron Diaz, Jason Segel, Justin Timberlake, Lucy Punch",5.6,92,Comedy,2011-06-24,"A lazy, incompetent middle school teacher who hates her job, her students, and her co-workers is forced to return to teaching to make enough money for breast implants after her wealthy fiancé dumps her."
Fred Claus,2007,David Dobkin,"Vince Vaughn, Paul Giamatti, Elizabeth Banks, John Michael Higgins",5.6,116,Comedy,2007-11-09,"Fred Claus, Santa's bitter older brother, is forced to move to the North Pole to help Santa and the elves prepare for Christmas in exchange for cash."
"You, Me and Dupree",2006,"Directors:Anthony Russo, Joe Russo","Kate Hudson, Owen Wilson, Matt Dillon, Michael Douglas",5.6,110,Comedy,2006-07-14,"A best man (Wilson) stays on as a houseguest with the newlyweds, much to the couple's annoyance."
Good Luck Chuck,2007,Mark Helfrich,"Dane Cook, Jessica Alba, Dan Fogler, Connor Price",5.6,101,Comedy,2007-09-21,"In order to keep the woman of his dreams from falling for another guy, Charlie Logan has to break the curse that has made him wildly popular with single women: Sleep with Charlie once, and the next man you meet will be your true l..."
Failure to Launch,2006,Tom Dey,"Matthew McConaughey, Sarah Jessica Parker, Kathy Bates, Terry Bradshaw",5.6,97,Comedy,2006-03-10,A thirty-something is still living with his parents until they hire an interventionist to help him graduate out of the house. That's when the fun begins.
Hatchet,2006,Adam Green,"Kane Hodder, Joel David Moore, Deon Richmond, Amara Zaragoza",5.6,93,Comedy,2006-04-02,"When a group of tourists in a New Orleans haunted swamp tour find themselves stranded in the wilderness, their evening of fun and spooks turns into a horrific nightmare."
Kicking & Screaming,2005,Jesse Dylan,"Will Ferrell, Robert Duvall, Josh Hutcherson, Mike Ditka",5.6,95,Comedy,2005-05-13,"Family man Phil Weston, a lifelong victim of his father's competitive nature, takes on the coaching duties of a kids' soccer team, and soon finds that he's also taking on his father's dysfunctional way of relating."
Win a Date with Tad Hamilton!,2004,Robert Luketic,"Kate Bosworth, Josh Duhamel, Topher Grace, Nathan Lane",5.6,96,Comedy,2004-01-23,"A small-town girl wins a date with a male celebrity through a contest. When the date goes better than expected, a love triangle forms between the girl, the male celebrity, and the girl's best friend."
Daddy Day Care,2003,Steve Carr,"Eddie Murphy, Jeff Garlin, Anjelica Huston, Steve Zahn",5.6,92,Comedy,2003-05-09,Two men named Charlie Hinton and Phil Ryerson get laid off and have to become stay-at-home fathers when they can't find jobs. This inspires them to open their own day care center.
Bringing Down the House,2003,Adam Shankman,"Steve Martin, Queen Latifah, Eugene Levy, Joan Plowright",5.6,105,Comedy,2003-03-07,"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life."
40 Days and 40 Nights,2002,Michael Lehmann,"Josh Hartnett, Shannyn Sossamon, Paulo Costanzo, Adam Trese",5.6,96,Comedy,2002-03-01,"After a brutal break-up, a young man vows to stay celibate during the forty days of Lent, but finds the girl of his dreams and is unable to do anything about it."
Runaway Bride,1999,Garry Marshall,"Julia Roberts, Richard Gere, Joan Cusack, Hector Elizondo",5.6,116,Comedy,1999-07-30,A reporter is assigned to write a story about a woman who has left a string of fiancés at the altar.
Major League II,1994,David S. Ward,"Charlie Sheen, Tom Berenger, Corbin Bernsen, Dennis Haysbert",5.6,105,Comedy,1994-03-30,"The Indians are now a World Series contender. But last year's hunger is now replaced with complacency, and bad decisions by the new owner threaten to tear the team apart."
Sister Act 2: Back in the Habit,1993,Bill Duke,"Whoopi Goldberg, Kathy Najimy, Maggie Smith, Barnard Hughes",5.6,107,Comedy,1993-12-10,Showgirl Deloris Van Cartier returns as Sister Mary Clarence to teach music to a group of Catholic students whose run-down school is slated for closure.
Dennis the Menace,1993,Nick Castle,"Walter Matthau, Mason Gamble, Joan Plowright, Christopher Lloyd",5.6,94,Comedy,1993-06-25,"When his parents must go out of town on business, Dennis stays with Mr. and Mrs. Wilson. He is driving Mr. Wilson crazy, but he is just trying to be helpful, even to the thief who has arrived in town."
The Texas Chainsaw Massacre 2,1986,Tobe Hooper,"Dennis Hopper, Caroline Williams, Jim Siedow, Bill Moseley",5.6,101,Comedy,1986-08-22,A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.
Senior Year,2022,Alex Hardcastle,"Rebel Wilson, Angourie Rice, Mary Holland, Molly Brown",5.5,111,Comedy,2022-05-13,"A cheerleading stunt gone wrong landed her in a 20-year coma. Now she's 37, newly awake and ready to live out her high school dream: becoming prom queen."
Your Highness,2011,David Gordon Green,"Danny McBride, Natalie Portman, James Franco, Rasmus Hardiker",5.5,102,Adventure,2011-04-08,"When Prince Fabious's bride is kidnapped, he goes on a quest to rescue her... accompanied by his lazy useless brother Thadeous."
That's My Boy,2012,Sean Anders,"Adam Sandler, Andy Samberg, Leighton Meester, Susan Sarandon",5.5,116,Comedy,2012-06-15,"While in his teens, Donny fathered a son, Todd, and raised him as a single parent until Todd's 18th birthday. Now Donny resurfaces just before Todd's wedding after years apart, sending the groom-to-be's world crashing down."
When in Rome,2010,Mark Steven Johnson,"Kristen Bell, Josh Duhamel, Anjelica Huston, Danny DeVito",5.5,91,Comedy,2010-01-29,"Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors."
Couples Retreat,2009,Peter Billingsley,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman",5.5,113,Comedy,2009-10-09,"A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessio..."
Little Fockers,2010,Paul Weitz,"Ben Stiller, Teri Polo, Robert De Niro, Owen Wilson",5.5,98,Comedy,2010-12-22,"Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?"
The House Bunny,2008,Fred Wolf,"Anna Faris, Colin Hanks, Emma Stone, Kat Dennings",5.5,97,Comedy,2008-08-22,"After Playboy bunny Shelley is kicked out of the Playboy Mansion, she finds a job as the house mother for a sorority full of socially awkward girls."
Because I Said So,2007,Michael Lehmann,"Diane Keaton, Mandy Moore, Gabriel Macht, Tom Everett Scott",5.5,102,Comedy,2007-02-02,A meddling mother tries to set her daughter up with the right man so her kid won't follow in her footsteps.
Piranha 3D,2010,Alexandre Aja,"Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss, Ving Rhames",5.5,88,Comedy,2010-08-20,"After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents."
Cheaper by the Dozen 2,2005,Adam Shankman,"Steve Martin, Bonnie Hunt, Hilary Duff, Eugene Levy",5.5,94,Adventure,2005-12-21,The Bakers find themselves competing with a rival family of eight children while on vacation.
RV,2006,Barry Sonnenfeld,"Robin Williams, Cheryl Hines, Kristin Chenoweth, JoJo",5.5,99,Adventure,2006-04-28,"Bob Munro and his dysfunctional family rent an RV for a road trip to the Colorado Rockies, where they must ultimately contend with a bizarre community of campers."
The Benchwarmers,2006,Dennis Dugan,"David Spade, Jon Heder, Rob Schneider, Jon Lovitz",5.5,85,Comedy,2006-04-07,A trio of guys try and make up for missed opportunities in childhood by forming a three-player baseball team to compete against standard children's Little League squads.
Employee of the Month,2006,Greg Coolidge,"Jessica Simpson, Dane Cook, Dax Shepard, Andy Dick",5.5,103,Comedy,2006-10-06,"A slacker competes with a repeat winner for the ""Employee of the Month"" title at work, in order to gain the affections of a new female employee."
Monster-in-Law,2005,Robert Luketic,"Jennifer Lopez, Michael Vartan, Jane Fonda, Wanda Sykes",5.5,101,Comedy,2005-05-13,"The love life of Charlotte is reduced to an endless string of disastrous blind dates, until she meets the perfect man, Kevin. Unfortunately, his merciless mother will do anything to destroy their relationship."
The Lizzie McGuire Movie,2003,Jim Fall,"Hilary Duff, Adam Lamberg, Clayton Snyder, Hallie Todd",5.5,94,Adventure,2003-05-02,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true."
Scary Movie 3,2003,David Zucker,"Anna Faris, Charlie Sheen, Regina Hall, Pamela Anderson",5.5,84,Comedy,2003-10-24,"Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion."
The Hot Chick,2002,Tom Brady,"Rob Schneider, Rachel McAdams, Anna Faris, Matthew Lawrence",5.5,104,Comedy,2002-12-13,"An attractive and popular teenager, who is mean-spirited toward others, finds herself in the body of an older man, and must find a way to get back to her original body."
Big Fat Liar,2002,Shawn Levy,"Frankie Muniz, Amanda Bynes, Paul Giamatti, Amanda Detmer",5.5,88,Adventure,2002-02-08,"Fourteen-year-old Jason Shepherd has a reputation for stretching the truth. So, when big-time Hollywood producer Marty Wolf steals his class paper and turns it into a smash hit movie, no one believes Jason's latest tall tale."
Bride of Chucky,1998,Ronny Yu,"Jennifer Tilly, Brad Dourif, Katherine Heigl, Nick Stabile",5.5,89,Comedy,1998-10-16,"Chucky, the doll possessed by a serial killer, discovers the perfect mate to kill and revive into the body of another doll."
Forces of Nature,1999,Bronwen Hughes,"Sandra Bullock, Ben Affleck, Maura Tierney, Steve Zahn",5.5,105,Comedy,1999-03-19,A soon-to-be-married man encounters an exciting stranger after his plane suffers an accident on takeoff.
Nine Months,1995,Chris Columbus,"Hugh Grant, Julianne Moore, Tom Arnold, Joan Cusack",5.5,103,Comedy,1995-07-12,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse."
The Dead Don't Die,2019,Jim Jarmusch,"Bill Murray, Adam Driver, Tom Waits, Chloë Sevigny",5.4,104,Comedy,2019-06-14,The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.
The Boss,2016,Ben Falcone,"Melissa McCarthy, Kristen Bell, Peter Dinklage, Ella Anderson",5.4,99,Comedy,2016-04-08,"A titan of industry is sent to prison after she's caught insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget."
Jennifer's Body,2009,Karyn Kusama,"Megan Fox, Amanda Seyfried, Adam Brody, Johnny Simmons",5.4,102,Comedy,2009-09-18,A newly-possessed high-school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?
Bride Wars,2009,Gary Winick,"Kate Hudson, Anne Hathaway, Candice Bergen, Bryan Greenberg",5.4,89,Comedy,2009-01-09,Two best friends become rivals when they schedule their respective weddings on the same day.
Teeth,2007,Mitchell Lichtenstein,"Jess Weixler, John Hensley, Josh Pais, Hale Appleman",5.4,94,Comedy,2007-04-03,"Still a stranger to her own body, a high school student discovers she has a physical advantage when she becomes the object of male violence."
"Yours, Mine & Ours",2005,Raja Gosnell,"Dennis Quaid, Rene Russo, Jerry O'Connell, Sean Faris",5.4,88,Comedy,2005-11-23,"A widowed Coast Guard Admiral and a widowed handbag designer fall in love and marry, much to the dismay of his 8 and her 10 children."
Evan Almighty,2007,Tom Shadyac,"Steve Carell, Morgan Freeman, Lauren Graham, Johnny Simmons",5.4,96,Comedy,2007-06-22,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.
Just My Luck,2006,Donald Petrie,"Lindsay Lohan, Chris Pine, Samaire Armstrong, Bree Turner",5.4,108,Comedy,2006-05-12,"Manhattanite Ashley is known to many as the luckiest woman around. After a chance encounter with a down-and-out young man, however, she realizes that she's swapped her fortune for his."
Christmas with the Kranks,2004,Joe Roth,"Tim Allen, Jamie Lee Curtis, Dan Aykroyd, M. Emmet Walsh",5.4,99,Comedy,2004-11-24,"With their daughter, Blair, away in Peru, Luther and Nora Krank decide to skip Christmas all together until she decides to come home, causing an uproar when they have to celebrate it at the last minute."
The Perfect Man,2005,Mark Rosman,"Hilary Duff, Heather Locklear, Aria Wallace, Chris Noth",5.4,100,Comedy,2005-06-17,"A lonely mother begins receiving romantic e-mails from a secret admirer, unaware that this perfect man is really a creation of her daughter who is trying to cheer her up."
Just Married,2003,Shawn Levy,"Ashton Kutcher, Brittany Murphy, Christian Kane, David Moscow",5.4,95,Comedy,2003-01-10,"A young newlywed couple honeymoon in Europe, where obstacles challenge their ability to sustain the marriage."
Doctor Dolittle,1998,Betty Thomas,"Eddie Murphy, Peter Boyle, Ossie Davis, Oliver Platt",5.4,85,Comedy,1998-06-26,A doctor discovers that he can communicate with animals.
Coneheads,1993,Steve Barron,"Dan Aykroyd, Jane Curtin, Robert Knott, Jonathan Penner",5.4,88,Comedy,1993-07-23,Aliens with conical crania crash-land on Earth.
Problem Child,1990,Dennis Dugan,"Michael Oliver, John Ritter, Jack Warden, Gilbert Gottfried",5.4,81,Comedy,1990-07-27,A young boy just short of a monster is adopted by a loving man and his wacky wife. The laughs keep coming as the boy pushes them to the limits.
My Stepmother Is an Alien,1988,Richard Benjamin,"Dan Aykroyd, Kim Basinger, Jon Lovitz, Alyson Hannigan",5.4,105,Comedy,1988-12-09,A creature from another planet tries to seduce a shy Earth physicist to gain control over his researches. The result of this important mission much exceeded her expectations.
What Men Want,2019,Adam Shankman,"Taraji P. Henson, Kristen Ledlow, Josh Brener, Kellan Lutz",5.3,117,Comedy,2019-02-08,"A woman is boxed out by the male sports agents in her profession, but gains an unexpected edge over them when she develops the ability to hear men's thoughts."
Coming 2 America,2021,Craig Brewer,"Eddie Murphy, Arsenio Hall, Shari Headley, Jermaine Fowler",5.3,110,Comedy,2021-03-05,The African monarch Akeem learns he has a long-lost son in the United States and must return to America to meet this unexpected heir and build a relationship with his son.
Tusk,2014,Kevin Smith,"Justin Long, Michael Parks, Haley Joel Osment, Genesis Rodriguez",5.3,102,Comedy,2014-09-19,A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.
Grown Ups 2,2013,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade",5.3,101,Comedy,2013-07-12,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and four hundred costumed party crashers sometimes ..."
Bachelorette,2012,Leslye Headland,"Kirsten Dunst, Isla Fisher, Lizzy Caplan, James Marsden",5.3,87,Comedy,2012-09-06,Three friends are asked to be bridesmaids at a wedding of a woman they used to ridicule back in high school.
The Back-up Plan,2010,Alan Poul,"Jennifer Lopez, Alex O'Loughlin, Michaela Watkins, Eric Christian Olsen",5.3,104,Comedy,2010-04-23,"A woman conceives twins through artificial insemination, then meets the man of her dreams on the very same day."
"I Love You, Beth Cooper",2009,Chris Columbus,"Hayden Panettiere, Paul Rust, Jack Carpenter, Lauren London",5.3,102,Comedy,2009-07-10,"A nerdy valedictorian proclaims his love for Beth Cooper--the hottest, most popular girl in school--during his graduation speech. That very night, she shows up at his door offering to show him the best night of his life."
Old Dogs,2009,Walt Becker,"Robin Williams, John Travolta, Seth Green, Kelly Preston",5.3,88,Comedy,2009-11-25,Two friends and business partners find their lives turned upside down when strange circumstances lead them to be the temporary guardians of seven year-old twins.
Aquamarine,2006,Elizabeth Allen Rosenbaum,"Emma Roberts, JoJo, Sara Paxton, Jake McDorman",5.3,110,Comedy,2006-03-03,Two teenage girls discover a mermaid in their beach club's swimming pool.
The Stepford Wives,2004,Frank Oz,"Nicole Kidman, Bette Midler, Matthew Broderick, Glenn Close",5.3,93,Comedy,2004-06-11,The secret to a Stepford wife lies behind the doors of the Men's Association.
View from the Top,2003,Bruno Barreto,"Gwyneth Paltrow, Christina Applegate, Kelly Preston, Mark Ruffalo",5.3,87,Comedy,2003-03-21,A small-town woman tries to achieve her goal of becoming a flight attendant.
Scary Movie 2,2001,Keenen Ivory Wayans,"Anna Faris, Marlon Wayans, Antony Acker, Mark Barrett",5.3,83,Comedy,2001-07-04,Four teens are tricked by Professor Oldman (Tim Curry) into visiting a haunted house for a school project.
Loser,2000,Amy Heckerling,"Jason Biggs, Mena Suvari, Zak Orth, Thomas Sadoski",5.3,98,Comedy,2000-07-21,"A college student, branded a loser by his roommates and booted from the dorm, falls in love with a coed who has eyes for their condescending professor."
The Wedding Planner,2001,Adam Shankman,"Jennifer Lopez, Matthew McConaughey, Bridgette Wilson-Sampras, Justin Chambers",5.3,103,Comedy,2001-01-26,Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom.
Little Nicky,2000,Steven Brill,"Adam Sandler, Patricia Arquette, Harvey Keitel, Rhys Ifans",5.3,90,Comedy,2000-11-10,"After two of the devil's three sons escape Hell to wreak havoc on Earth, the devil must send his third son, the mild-mannered Nicky, to bring them back before it's too late."
Flubber,1997,Les Mayfield,"Robin Williams, Marcia Gay Harden, Christopher McDonald, Ted Levine",5.3,93,Comedy,1997-11-26,"An absent-minded professor discovers ""flubber,"" a rubber-like super-bouncy substance."
Police Academy 3: Back in Training,1986,Jerry Paris,"Steve Guttenberg, Bubba Smith, David Graf, Michael Winslow",5.3,83,Comedy,1986-03-21,The alumni of Commandant Lassard's Police Academy (1984) return to the school to train new recruits and prevent its closure.
Popeye,1980,Robert Altman,"Robin Williams, Shelley Duvall, Ray Walston, Paul Dooley",5.3,114,Adventure,1980-12-12,The adventures of the famous sailor man and his friends in the seaside town of Sweethaven.
Rough Night,2017,Lucia Aniello,"Scarlett Johansson, Kate McKinnon, Zoë Kravitz, Ilana Glazer",5.2,101,Comedy,2017-06-16,Things go terribly wrong for a group of girlfriends who hire a male stripper for a bachelorette party in Miami.
Zookeeper,2011,Frank Coraci,"Kevin James, Rosario Dawson, Leslie Bibb, Ken Jeong",5.2,102,Comedy,2011-07-08,"A group of zoo animals decide to break their code of silence in order to help their lovable zookeeper find love, without opting to leave his current job for something more illustrious."
Beast,2022,Nelson Dilipkumar,"Joseph Vijay, Pooja Hegde, K. Selvaraghavan, Shine Tom Chacko",5.2,155,Action,2022-08-19,A father and his two teenage daughters find themselves hunted by a massive rogue lion intent on proving that the Savanna has but one apex predator.
License to Wed,2007,Ken Kwapis,"Mandy Moore, John Krasinski, Robin Williams, Eric Christian Olsen",5.2,91,Comedy,2007-07-03,A reverend puts an engaged couple through a grueling marriage preparation course to see if they are meant to be married in his church.
My Super Ex-Girlfriend,2006,Ivan Reitman,"Uma Thurman, Luke Wilson, Anna Faris, Rainn Wilson",5.2,96,Comedy,2006-07-21,"When a regular guy dumps a superhero for her neediness, she uses her powers to make his life a living hell."
Mr. Woodcock,2007,Craig Gillespie,"Billy Bob Thornton, Seann William Scott, Susan Sarandon, Amy Poehler",5.2,87,Comedy,2007-09-14,"Taken aback by his mother's wedding announcement, a young man returns home in an effort to stop her from marrying his old high school gym teacher, a man who made middle school hell for generations of students."
The Medallion,2003,Gordon Chan,"Jackie Chan, Lee Evans, Claire Forlani, Julian Sands",5.2,88,Action,2003-08-22,A Hong Kong detective suffers a fatal accident involving a mysterious medallion and is transformed into an immortal warrior with superhuman powers.
Spy Kids 2: Island of Lost Dreams,2002,Robert Rodriguez,"Alexa PenaVega, Daryl Sabara, Antonio Banderas, Carla Gugino",5.2,100,Action,2002-08-07,"The Cortez siblings set out for a mysterious island, where they encounter a genetic scientist and a set of rival spy kids."
Snow Dogs,2002,Brian Levant,"Cuba Gooding Jr., James Coburn, Sisqó, Nichelle Nichols",5.2,99,Adventure,2002-01-18,"When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man."
Sex Tape,2014,Jake Kasdan,"Jason Segel, Cameron Diaz, Rob Corddry, Ellie Kemper",5.1,94,Comedy,2014-07-18,"A married couple wake up to discover that the sex tape they made the evening before has gone missing, leading to a frantic search for its whereabouts."
Meet Dave,2008,Brian Robbins,"Eddie Murphy, Elizabeth Banks, Gabrielle Union, Scott Caan",5.1,90,Adventure,2008-07-11,"A crew of miniature aliens operate a spaceship that has a human form. While trying to save their planet, the aliens encounter a new problem, as their ship becomes smitten with an Earth woman."
The Three Stooges,2012,"Directors:Bobby Farrelly, Peter Farrelly","Sean Hayes, Chris Diamantopoulos, Will Sasso, Jane Lynch",5.1,92,Comedy,2012-04-13,"While trying to save their childhood orphanage, Moe, Larry and Curly inadvertently stumble into a murder plot and wind up starring in a reality television show."
The Dukes of Hazzard,2005,Jay Chandrasekhar,"Seann William Scott, Johnny Knoxville, Jessica Simpson, Alice Greczyn",5.1,104,Comedy,2005-08-05,"Cousins Bo, Luke, and Daisy Duke, and their uncle Jesse, egg on the authorities of Hazzard County, Boss Hogg and Sheriff Coltrane."
Scary Movie 4,2006,David Zucker,"Anna Faris, Regina Hall, Craig Bierko, Bill Pullman",5.1,83,Comedy,2006-04-14,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them."
The Sweetest Thing,2002,Roger Kumble,"Cameron Diaz, Thomas Jane, Christina Applegate, Lillian Adams",5.1,84,Comedy,2002-04-12,"Christina Walters spent years avoiding men, then suddenly met her perfect match while hanging with her best friends, Courtney and Jane. When she finds out that he has left town, she and Courtney set out on a trip."
Cats & Dogs,2001,Lawrence Guterman,"Alec Baldwin, Tobey Maguire, Jeff Goldblum, Elizabeth Perkins",5.1,87,Action,2001-07-04,"A look at the top-secret, high-tech espionage war going on between cats and dogs, of which their human owners are blissfully unaware."
An American Werewolf in Paris,1997,Anthony Waller,"Tom Everett Scott, Julie Delpy, Vince Vieluf, Phil Buckman",5.1,98,Comedy,1997-12-25,An American man unwittingly gets involved with French werewolves who have developed a serum allowing them to transform at will.
A Haunted House,2013,Michael Tiddes,"Marlon Wayans, Essence Atkins, Marlene Forte, David Koechner",5.0,86,Comedy,2013-01-11,"Malcolm and Kisha move into their dream home, then learn that a demon also resides there. When Kisha becomes possessed, Malcolm--determined to keep his sex life on track--turns to a priest, a psychic, and a ghostbusting team for h..."
Me Time,2022,John Hamburg,"Kevin Hart, Mark Wahlberg, Regina Hall, Che Tafari",5.0,101,Comedy,2022-08-26,"A stay-at-home dad who dedicates all his time to his children is persuaded to take time off for himself, and gets mixed up in the wild shenanigans of his childhood friend who's celebrating his 44 birthday."
Tooth Fairy,2010,Michael Lembeck,"Dwayne Johnson, Ashley Judd, Julie Andrews, Stephen Merchant",5.0,101,Comedy,2010-01-22,A bad deed on the part of a tough minor-league hockey player results in an unusual sentence: He must serve one week as a real-life tooth fairy.
Deck the Halls,2006,John Whitesell,"Matthew Broderick, Danny DeVito, Kristin Chenoweth, Kristin Davis",5.0,93,Comedy,2006-11-22,Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.
Cursed,2005,Wes Craven,"Christina Ricci, Jesse Eisenberg, Portia de Rossi, Mya",5.0,97,Comedy,2005-02-25,"A werewolf loose in Los Angeles changes the lives of three young adults who, after being mauled by the beast, learn they must kill it in order to avoid becoming werewolves themselves."
The Phantom,1996,Simon Wincer,"Billy Zane, Kristy Swanson, Treat Williams, Catherine Zeta-Jones",5.0,100,Action,1996-06-07,"The Phantom, descendent of a line of African superheroes, travels to New York City to thwart a wealthy criminal genius from obtaining three magic skulls which would give him the secret to ultimate power."
Nothing But Trouble,1991,Dan Aykroyd,"Chevy Chase, Dan Aykroyd, John Candy, Demi Moore",5.0,94,Comedy,1991-02-15,A businessman and his friends are captured by a sadistic judge and his equally odd family in a bizarre mansion in the backwoods.
Superman III,1983,Richard Lester,"Christopher Reeve, Richard Pryor, Margot Kidder, Jackie Cooper",5.0,125,Action,1983-06-17,Synthetic kryptonite laced with tar splits Superman in two: good Clark Kent and bad Man of Steel.
Meet the Blacks,2016,Deon Taylor,"Mike Epps, Zulay Henao, Alex Henderson, Bresha Webb",4.9,94,Comedy,2016-04-01,"As Carl Black gets the opportunity to move his family out of Chicago in hope of a better life, their arrival in Beverly Hills is timed with that city's annual purge, where all crime is legal for twelve hours."
Tammy,2014,Ben Falcone,"Melissa McCarthy, Susan Sarandon, Kathy Bates, Allison Janney",4.9,97,Comedy,2014-07-02,"After getting fired and finding out that her husband is cheating, Tammy hits the road with her profane, alcoholic grandmother."
Gulliver's Travels,2010,Rob Letterman,"Jack Black, Emily Blunt, Jason Segel, Amanda Peet",4.9,85,Adventure,2010-12-25,"Travel writer Lemuel Gulliver takes an assignment in Bermuda but ends up on the island of Lilliput, where he towers over its tiny citizens."
Year One,2009,Harold Ramis,"Jack Black, Michael Cera, Olivia Wilde, Oliver Platt",4.9,97,Comedy,2009-06-19,"After being banished from their tribe, two hunter-gatherers encounter Biblical characters and eventually wind up in the city of Sodom."
Herbie Fully Loaded,2005,Angela Robinson,"Lindsay Lohan, Michael Keaton, Cheryl Hines, Breckin Meyer",4.9,101,Adventure,2005-06-22,"Maggie Peyton, the new owner of Herbie, Number 53, the free-wheelin' Volkswagen bug with a mind of its own, puts the car through its paces on the road to becoming a NASCAR competitor."
Seed of Chucky,2004,Don Mancini,"Jennifer Tilly, Brad Dourif, John Waters, Billy Boyd",4.9,87,Comedy,2004-11-12,"Chucky and Tiffany are resurrected by their innocent gender-confused daughter, Glenda, and hit Hollywood, where a movie depicting the killer dolls' murder spree is underway."
Boat Trip,2002,Mort Nathan,"Cuba Gooding Jr., Horatio Sanz, Roselyn Sanchez, Vivica A. Fox",4.9,94,Comedy,2002-03-21,"Two straight men mistakenly end up on a ""gays only"" cruise."
Black Knight,2001,Gil Junger,"Martin Lawrence, Marsha Thomason, Tom Wilkinson, Vincent Regan",4.9,95,Adventure,2001-11-21,"Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After sustaining a blow to the head, he awakens to find himself in 14th century England."
The Flintstones,1994,Brian Levant,"John Goodman, Rick Moranis, Rosie O'Donnell, Halle Berry",4.9,91,Comedy,1994-05-27,"In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness."
Beethoven's 2nd,1993,Rod Daniel,"Charles Grodin, Bonnie Hunt, Nicholle Tom, Christopher Castile",4.9,89,Comedy,1993-12-17,"Beethoven, the St. Bernard dog, becomes a father, but his girlfriend Missy is dognapped, and his puppies are in danger of the same fate."
Recep Ivedik,2008,Togan Gökbakar,"Sahan Gökbakar, Fatma Toptas, Tulug Çizgen, Ismail Hakki Ürün",4.8,90,Comedy,2008-02-22,"A man trying to impress his childhood lover, although it may sound romantic, it is not."
All About Steve,2009,Phil Traill,"Sandra Bullock, Bradley Cooper, Thomas Haden Church, Ken Jeong",4.8,99,Comedy,2009-09-04,"Convinced that a CCN cameraman is her true love, an eccentric crossword puzzler trails him as he travels all over the country, hoping to convince him that they belong together."
